Año,Trimestre,Provincia,Accesos TV por suscripción
2015,3,Santa Cruz,54.965
2015,3,Santa Fe,613.455
2015,3,Santiago del Estero,99.599
2015,3,Tierra del Fuego,37.053
2015,3,Tucumán,122.680
2015,2,Buenos Aires,2.522.599
2015,2,Capital Federal,693.278
2015,2,Catamarca,28.518
2015,2,Chaco,91.438
2015,2,Chubut,68.762
2015,2,Córdoba,979.028
2015,2,Corrientes,91.645
2015,2,Entre Ríos,153.882
2015,2,Formosa,46.356
2015,2,Jujuy,83.523
2015,2,La Pampa,82.878
2015,2,La Rioja,25.403
2015,2,Mendoza,116.704
2015,2,Misiones,116.298
2015,2,Neuquén,111.237
2015,2,Río Negro,58.204
2015,2,Salta,169.164
2015,2,San Juan,43.565
2015,2,San Luis,55.558
2015,2,Santa Cruz,54.155
2015,2,Santa Fe,611.604
2015,2,Santiago del Estero,98.712
2015,2,Tierra del Fuego,36.057
2015,2,Tucumán,121.485
2015,1,Buenos Aires,2.502.399
2015,1,Capital Federal,690.175
2015,1,Catamarca,28.098
2015,1,Chaco,91.617
2015,1,Chubut,68.561
2015,1,Córdoba,974.705
2015,1,Corrientes,90.410
2015,1,Entre Ríos,151.985
2015,1,Formosa,46.316
2015,1,Jujuy,80.056
2015,1,La Pampa,81.292
2015,1,La Rioja,25.553
2015,1,Mendoza,115.783
2015,1,Misiones,114.278
2015,1,Neuquén,111.183
2015,1,Río Negro,57.497
2015,1,Salta,168.225
2015,1,San Juan,43.939
2015,1,San Luis,55.603
2015,1,Santa Cruz,54.518
2015,1,Santa Fe,604.333
2015,1,Santiago del Estero,98.247
2015,1,Tierra del Fuego,35.399
2015,1,Tucumán,119.332
2014,4,Buenos Aires,2.492.829
2014,4,Capital Federal,690.404
2014,4,Catamarca,28.249
2014,4,Chaco,91.003
2014,4,Chubut,68.381
2014,4,Córdoba,976.250
2014,4,Corrientes,91.210
2014,4,Entre Ríos,151.868
2014,4,Formosa,46.590
2014,4,Jujuy,79.331
2014,4,La Pampa,79.733
2014,4,La Rioja,26.337
2014,4,Mendoza,116.149
2014,4,Misiones,112.595
2014,4,Neuquén,154.765
2014,4,Río Negro,58.053
2014,4,Salta,166.843
2014,4,San Juan,42.970
2014,4,San Luis,55.289
2014,4,Santa Cruz,44.012
2014,4,Santa Fe,652.071
2014,4,Santiago del Estero,98.334
2014,4,Tierra del Fuego,34.741
2014,4,Tucumán,120.037
2014,3,Buenos Aires,2.479.337
2014,3,Capital Federal,689.381
2014,3,Catamarca,27.544
2014,3,Chaco,85.608
2014,3,Chubut,68.472
2014,3,Córdoba,975.850
2014,3,Corrientes,89.802
2014,3,Entre Ríos,150.597
2014,3,Formosa,46.428
2014,3,Jujuy,73.976
2014,3,La Pampa,77.927
