Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2021,1,La Rioja,24.254,21.759,1.877,115,503
2021,1,Mendoza,196.315,176.118,15.194,928,4.075
2021,1,Misiones,82.076,73.632,6.352,388,1.704
2021,1,Neuquén,74.404,66.749,5.759,352,1.544
2021,1,Río Negro,82.669,74.164,6.398,391,1.716
2021,1,Salta,96.214,86.315,7.447,455,1.997
2021,1,San Juan,74.837,67.138,5.792,354,1.553
2021,1,San Luis,34.431,30.888,2.665,163,715
2021,1,Santa Cruz,26.930,24.160,2.084,127,559
2021,1,Santa Fe,570.118,511.464,44.125,2.695,11.834
2021,1,Santiago del Estero,62.157,55.762,4.811,294,1.290
2021,1,Tierra del Fuego,21.573,19.353,1.670,102,448
2021,1,Tucumán,163.185,146.397,12.630,771,3.387
2020,4,Buenos Aires,3.232.457,2.906.464,254.292,14.992,56.709
2020,4,Capital Federal,1.423.882,1.280.284,112.014,6.604,24.980
2020,4,Catamarca,33.525,30.145,2.637,155,588
2020,4,Chaco,81.113,72.933,6.381,376,1.423
2020,4,Chubut,73.019,65.655,5.744,339,1.281
2020,4,Córdoba,535.102,481.136,42.096,2.482,9.388
2020,4,Corrientes,85.319,76.714,6.712,396,1.497
2020,4,Entre Ríos,178.988,160.937,14.081,830,3.140
2020,4,Formosa,34.057,30.623,2.679,158,597
2020,4,Jujuy,45.686,41.079,3.594,212,801
2020,4,La Pampa,70.628,63.505,5.556,328,1.239
2020,4,La Rioja,29.306,26.351,2.305,136,514
2020,4,Mendoza,196.388,176.583,15.449,911,3.445
2020,4,Misiones,85.762,77.112,6.747,398,1.505
2020,4,Neuquén,74.546,67.028,5.864,346,1.308
2020,4,Río Negro,84.513,75.990,6.648,392,1.483
2020,4,Salta,101.610,91.363,7.993,471,1.783
2020,4,San Juan,74.837,67.290,5.887,347,1.313
2020,4,San Luis,34.431,30.958,2.709,160,604
2020,4,Santa Cruz,27.239,24.492,2.143,126,478
2020,4,Santa Fe,592.374,532.634,46.601,2.747,10.392
2020,4,Santiago del Estero,66.338,59.647,5.219,308,1.164
2020,4,Tierra del Fuego,21.573,19.398,1.697,100,378
2020,4,Tucumán,181.343,163.055,14.266,841,3.181
2020,3,Buenos Aires,3.233.324,2.919.939,236.054,15.784,61.547
2020,3,Capital Federal,1.433.000,1.294.110,104.618,6.995,27.277
2020,3,Catamarca,33.596,30.339,2.453,164,640
2020,3,Chaco,82.542,74.542,6.026,403,1.571
2020,3,Chubut,72.950,65.879,5.326,356,1.389
2020,3,Córdoba,549.383,496.134,40.109,2.682,10.458
2020,3,Corrientes,86.349,77.979,6.304,422,1.644
2020,3,Entre Ríos,181.304,163.732,13.236,885,3.451
2020,3,Formosa,34.864,31.485,2.545,170,664
2020,3,Jujuy,46.331,41.841,3.382,226,882
2020,3,La Pampa,70.536,63.699,5.150,344,1.343
2020,3,La Rioja,29.404,26.553,2.147,144,560
2020,3,Mendoza,196.383,177.349,14.337,959,3.738
2020,3,Misiones,88.884,80.269,6.489,434,1.692
2020,3,Neuquén,74.481,67.261,5.438,364,1.418
2020,3,Río Negro,85.239,76.977,6.223,416,1.623
2020,3,Salta,103.159,93.160,7.531,504,1.964
2020,3,San Juan,74.844,67.590,5.464,365,1.425
2020,3,San Luis,34.436,31.098,2.514,168,656
2020,3,Santa Cruz,27.279,24.635,1.992,133,519
2020,3,Santa Fe,624.379,563.862,45.584,3.048,11.885
2020,3,Santiago del Estero,66.338,59.908,4.843,324,1.263
2020,3,Tierra del Fuego,21.573,19.482,1.575,105,411
2020,3,Tucumán,181.967,164.330,13.285,888,3.464
2020,2,Buenos Aires,3.232.457,2.906.464,254.292,14.992,56.709
2020,2,Capital Federal,1.423.882,1.280.284,112.014,6.604,24.980
2020,2,Catamarca,33.525,30.145,2.637,155,588
2020,2,Chaco,81.113,72.933,6.381,376,1.423
2020,2,Chubut,73.019,65.655,5.744,339,1.281
2020,2,Córdoba,535.102,481.136,42.096,2.482,9.388
2020,2,Corrientes,85.319,76.714,6.712,396,1.497
2020,2,Entre Ríos,178.988,160.937,14.081,830,3.140
2020,2,Formosa,34.057,30.623,2.679,158,597
2020,2,Jujuy,45.686,41.079,3.594,212,801
2020,2,La Pampa,70.628,63.505,5.556,328,1.239
2020,2,La Rioja,29.306,26.351,2.305,136,514
2020,2,Mendoza,196.388,176.583,15.449,911,3.445
2020,2,Misiones,85.762,77.112,6.747,398,1.505
2020,2,Neuquén,74.546,67.028,5.864,346,1.308
2020,2,Río Negro,84.513,75.990,6.648,392,1.483
2020,2,Salta,101.610,91.363,7.993,471,1.783
2020,2,San Juan,74.837,67.290,5.887,347,1.313
2020,2,San Luis,34.431,30.958,2.709,160,604
2020,2,Santa Cruz,27.239,24.492,2.143,126,478
2020,2,Santa Fe,592.374,532.634,46.601,2.747,10.392
2020,2,Santiago del Estero,66.338,59.647,5.219,308,1.164
2020,2,Tierra del Fuego,21.573,19.398,1.697,100,378
2020,2,Tucumán,181.343,163.055,14.266,841,3.181
2020,1,Buenos Aires,3.261.264,2.925.747,261.533,14.423,59.561
2020,1,Capital Federal,1.456.196,1.306.383,116.778,6.440,26.595
2020,1,Catamarca,29.743,26.683,2.385,132,543
2020,1,Chaco,84.041,75.394,6.740,372,1.535
2020,1,Chubut,78.692,70.596,6.311,348,1.437
2020,1,Córdoba,574.075,515.015,46.037,2.539,10.484
2020,1,Corrientes,87.649,78.631,7.029,388,1.601
2020,1,Entre Ríos,186.835,167.614,14.983,826,3.412
2020,1,Formosa,34.562,31.006,2.772,153,631
2020,1,Jujuy,47.985,43.049,3.848,212,876
2020,1,La Pampa,70.733,63.456,5.672,313,1.292
2020,1,La Rioja,27.079,24.292,2.172,120,495
2020,1,Mendoza,210.725,189.045,16.899,932,3.849
2020,1,Misiones,90.832,81.487,7.284,402,1.659
2020,1,Neuquén,77.487,69.515,6.214,343,1.415
2020,1,Río Negro,88.260,79.180,7.078,390,1.612
2020,1,Salta,107.506,96.447,8.621,475,1.963
2020,1,San Juan,78.502,70.426,6.295,347,1.434
2020,1,San Luis,36.334,32.595,2.914,161,664
2020,1,Santa Cruz,29.360,26.340,2.354,130,536
2020,1,Santa Fe,624.563,560.308,50.086,2.762,11.407
2020,1,Santiago del Estero,67.237,60.320,5.392,297,1.228
2020,1,Tierra del Fuego,23.550,21.127,1.889,104,430
2020,1,Tucumán,182.424,163.656,14.629,807,3.332
2019,4,Buenos Aires,3.348.525,2.994.702,266.943,14.902,71.978
2019,4,Capital Federal,1.478.871,1.322.606,117.895,6.581,31.789
2019,4,Catamarca,31.113,27.826,2.480,138,669
2019,4,Chaco,86.928,77.742,6.930,387,1.869
2019,4,Chubut,81.784,73.142,6.520,364,1.758
2019,4,Córdoba,604.424,540.558,48.184,2.690,12.992
2019,4,Corrientes,89.969,80.463,7.172,400,1.934
2019,4,Entre Ríos,191.513,171.277,15.267,852,4.117
2019,4,Formosa,35.319,31.587,2.816,157,759
2019,4,Jujuy,49.460,44.234,3.943,220,1.063
2019,4,La Pampa,71.332,63.795,5.687,317,1.533
2019,4,La Rioja,28.349,25.354,2.260,126,609
2019,4,Mendoza,218.661,195.556,17.432,973,4.700
2019,4,Misiones,93.753,83.847,7.474,417,2.015
2019,4,Neuquén,78.963,70.620,6.295,351,1.697
2019,4,Río Negro,91.113,81.486,7.263,405,1.959
2019,4,Salta,110.873,99.158,8.839,493,2.383
2019,4,San Juan,80.524,72.016,6.419,358,1.731
2019,4,San Luis,37.794,33.801,3.013,168,812
2019,4,Santa Cruz,30.409,27.196,2.424,135,654
2019,4,Santa Fe,643.060,575.111,51.264,2.862,13.823
2019,4,Santiago del Estero,68.405,61.178,5.453,304,1.470
2019,4,Tierra del Fuego,24.283,21.717,1.936,108,522
2019,4,Tucumán,187.391,167.590,14.939,834,4.028
2019,3,Buenos Aires,3.414.932,3.058.655,268.169,14.853,73.255
2019,3,Capital Federal,1.497.396,1.341.174,117.588,6.513,32.121
2019,3,Catamarca,32.676,29.267,2.566,142,701
2019,3,Chaco,88.269,79.060,6.932,384,1.893
2019,3,Chubut,83.907,75.153,6.589,365,1.800
2019,3,Córdoba,612.366,548.479,48.088,2.663,13.136
2019,3,Corrientes,91.158,81.648,7.159,396,1.955
2019,3,Entre Ríos,194.253,173.987,15.254,845,4.167
2019,3,Formosa,35.966,32.214,2.824,156,772
2019,3,Jujuy,50.113,44.885,3.935,218,1.075
2019,3,La Pampa,63.774,57.121,5.008,277,1.368
2019,3,La Rioja,29.547,26.464,2.320,129,634
2019,3,Mendoza,225.668,202.124,17.721,982,4.841
2019,3,Misiones,95.865,85.864,7.528,417,2.056
2019,3,Neuquén,80.350,71.967,6.310,349,1.724
2019,3,Río Negro,94.207,84.378,7.398,410,2.021
2019,3,Salta,113.707,101.844,8.929,495,2.439
2019,3,San Juan,82.462,73.858,6.476,359,1.769
2019,3,San Luis,39.274,35.177,3.084,171,842
2019,3,Santa Cruz,32.023,28.682,2.515,139,687
