Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2016,2,La Pampa,2.369,7.189
2016,2,La Rioja,1.017,3.819
2016,2,Mendoza,1.942,6.960
2016,2,Misiones,919,3.373
2016,2,Neuquén,1.575,5.292
2016,2,Río Negro,1.992,6.477
2016,2,Salta,1.031,4.256
2016,2,San Juan,1.437,5.640
2016,2,San Luis,1.103,3.853
2016,2,Santa Cruz,1.346,4.523
2016,2,Santa Fe,2.167,6.891
2016,2,Santiago del Estero,704,2.838
2016,2,Tierra del Fuego,2.432,8.201
2016,2,Tucumán,1.304,5.265
2016,3,Buenos Aires,2.833,8.863
2016,3,Capital Federal,5.245,12.309
2016,3,Catamarca,968,3.805
2016,3,Chaco,888,3.323
2016,3,Chubut,2.041,6.658
2016,3,Córdoba,1.950,6.368
2016,3,Corrientes,948,3.598
2016,3,Entre Ríos,1.681,5.622
2016,3,Formosa,704,2.767
2016,3,Jujuy,767,2.998
2016,3,La Pampa,2.388,7.249
2016,3,La Rioja,1.017,3.821
2016,3,Mendoza,1.977,7.085
2016,3,Misiones,917,3.368
2016,3,Neuquén,1.614,5.422
2016,3,Río Negro,2.025,6.584
2016,3,Salta,1.031,4.257
2016,3,San Juan,1.501,5.892
2016,3,San Luis,1.112,3.884
2016,3,Santa Cruz,1.351,4.540
2016,3,Santa Fe,2.157,6.860
2016,3,Santiago del Estero,697,2.810
2016,3,Tierra del Fuego,2.469,8.327
2016,3,Tucumán,1.308,5.281
2016,4,Buenos Aires,2.886,9.008
2016,4,Capital Federal,5.287,12.525
2016,4,Catamarca,961,3.779
2016,4,Chaco,879,3.290
2016,4,Chubut,2.107,6.873
2016,4,Córdoba,1.944,6.350
2016,4,Corrientes,941,3.572
2016,4,Entre Ríos,1.665,5.569
2016,4,Formosa,701,2.754
2016,4,Jujuy,762,2.981
2016,4,La Pampa,2.399,7.281
2016,4,La Rioja,1.007,3.783
2016,4,Mendoza,1.989,7.128
2016,4,Misiones,952,3.494
2016,4,Neuquén,1.610,5.408
2016,4,Río Negro,2.042,6.639
2016,4,Salta,1.025,4.232
2016,4,San Juan,1.519,5.965
2016,4,San Luis,1.108,3.872
2016,4,Santa Cruz,1.417,4.762
2016,4,Santa Fe,2.161,6.873
2016,4,Santiago del Estero,684,2.757
2016,4,Tierra del Fuego,2.461,8.301
2016,4,Tucumán,1.304,5.265
2017,1,Buenos Aires,2.904,9.120
2017,1,Capital Federal,5.262,12.337
2017,1,Catamarca,968,3.805
2017,1,Chaco,886,3.316
2017,1,Chubut,2.136,6.967
2017,1,Córdoba,1.956,6.387
2017,1,Corrientes,947,3.597
2017,1,Entre Ríos,1.677,5.610
2017,1,Formosa,706,2.773
2017,1,Jujuy,769,3.007
2017,1,La Pampa,2.415,7.330
2017,1,La Rioja,1.018,3.823
2017,1,Mendoza,2.006,7.188
2017,1,Misiones,960,3.526
2017,1,Neuquén,1.627,5.466
2017,1,Río Negro,2.064,6.709
2017,1,Salta,1.035,4.275
2017,1,San Juan,1.532,6.016
2017,1,San Luis,1.119,3.911
2017,1,Santa Cruz,1.447,4.861
2017,1,Santa Fe,2.172,6.906
2017,1,Santiago del Estero,690,2.779
2017,1,Tierra del Fuego,2.511,8.469
2017,1,Tucumán,1.317,5.316
2017,2,Buenos Aires,2.922,9.158
2017,2,Capital Federal,5.166,12.127
2017,2,Catamarca,963,3.785
2017,2,Chaco,892,3.337
2017,2,Chubut,2.000,6.524
2017,2,Córdoba,1.952,6.375
2017,2,Corrientes,949,3.603
2017,2,Entre Ríos,1.688,5.644
2017,2,Formosa,697,2.740
2017,2,Jujuy,766,2.996
2017,2,La Pampa,2.369,7.189
2017,2,La Rioja,1.017,3.819
2017,2,Mendoza,1.942,6.960
2017,2,Misiones,919,3.373
2017,2,Neuquén,1.575,5.292
2017,2,Río Negro,1.992,6.477
2017,2,Salta,1.031,4.256
2017,2,San Juan,1.437,5.640
2017,2,San Luis,1.103,3.853
2017,2,Santa Cruz,1.346,4.523
2017,2,Santa Fe,2.167,6.891
2017,2,Santiago del Estero,704,2.838
2017,2,Tierra del Fuego,2.432,8.201
2017,2,Tucumán,1.304,5.265
2017,3,Buenos Aires,2.833,8.863
2017,3,Capital Federal,5.245,12.309
2017,3,Catamarca,968,3.805
2017,3,Chaco,888,3.323
2017,3,Chubut,2.041,6.658
2017,3,Córdoba,1.950,6.368
2017,3,Corrientes,948,3.598
2017,3,Entre Ríos,1.681,5.622
2017,3,Formosa,704,2.767
2017,3,Jujuy,767,2.998
2017,3,La Pampa,2.388,7.249
2017,3,La Rioja,1.017,3.821
2017,3,Mendoza,1.977,7.085
2017,3,Misiones,917,3.368
2017,3,Neuquén,1.614,5.422
2017,3,Río Negro,2.025,6.584
2017,3,Salta,1.031,4.257
2017,3,San Juan,1.501,5.892
2017,3,San Luis,1.112,3.884
2017,3,Santa Cruz,1.351,4.540
2017,3,Santa Fe,2.157,6.860
2017,3,Santiago del Estero,697,2.810
2017,3,Tierra del Fuego,2.469,8.327
2017,3,Tucumán,1.308,5.281
2017,4,Buenos Aires,2.886,9.008
2017,4,Capital Federal,5.287,12.525
2017,4,Catamarca,961,3.779
2017,4,Chaco,879,3.290
2017,4,Chubut,2.107,6.873
2017,4,Córdoba,1.944,6.350
2017,4,Corrientes,941,3.572
2017,4,Entre Ríos,1.665,5.569
2017,4,Formosa,701,2.754
2017,4,Jujuy,762,2.981
2017,4,La Pampa,2.399,7.281
2017,4,La Rioja,1.007,3.783
2017,4,Mendoza,1.989,7.128
2017,4,Misiones,952,3.494
2017,4,Neuquén,1.610,5.408
2017,4,Río Negro,2.042,6.639
2017,4,Salta,1.025,4.232
2017,4,San Juan,1.519,5.965
2017,4,San Luis,1.108,3.872
2017,4,Santa Cruz,1.417,4.762
2017,4,Santa Fe,2.161,6.873
2017,4,Santiago del Estero,684,2.757
2017,4,Tierra del Fuego,2.461,8.301
2017,4,Tucumán,1.304,5.265
2018,1,Buenos Aires,2.589,7.997
2018,1,Capital Federal,5.648,13.465
2018,1,Catamarca,943,3.707
